Problem nbvar max_dom nbconstr max_arity tb2_glb_snc_lap_cputime tb2_glb_snc_lap_bestsol tb2_glb_snc_lap_status tb2_glb_snc_lap_bestbound tb2_glb_snc_lap_nbnodes tb2_glb_sap_cputime tb2_glb_sap_bestsol tb2_glb_sap_status tb2_glb_sap_bestbound tb2_glb_sap_nbnodes tb2_glb_sap_wdeg_cputime tb2_glb_sap_wdeg_bestsol tb2_glb_sap_wdeg_status tb2_glb_sap_wdeg_bestbound tb2_glb_sap_wdeg_nbnodes tb2_glb_sap_wdeg_camb_10_cputime tb2_glb_sap_wdeg_camb_10_bestsol tb2_glb_sap_wdeg_camb_10_status tb2_glb_sap_wdeg_camb_10_bestbound tb2_glb_sap_wdeg_camb_10_nbnodes tb2_glb_snc_sap_cputime tb2_glb_snc_sap_bestsol tb2_glb_snc_sap_status tb2_glb_snc_sap_bestbound tb2_glb_snc_sap_nbnodes tb2_glb_snc_sap_wdeg_cputime tb2_glb_snc_sap_wdeg_bestsol tb2_glb_snc_sap_wdeg_status tb2_glb_snc_sap_wdeg_bestbound tb2_glb_snc_sap_wdeg_nbnodes ortools_cpsat_cputime ortools_cpsat_bestsol ortools_cpsat_status ortools_cpsat_bestbound ortools_cpsat_nbnodes hexaly_cputime hexaly_bestsol hexaly_status hexaly_bestbound hexaly_nbnodes
bur26a 26 26 352 26 1200 5433313 FEAS 5334676 2487729 1052.38 5426670 OPT 5426670 818171 230.74 5426670 OPT 5426670 203485 215.168 5426670 OPT 5426670 177613 1200 5426670 FEAS 5361812 616054 528.727 5426670 OPT 5426670 332543 1200 5462522.0 FEAS 633119.0 199951 1200 5426670 FEAS 0 63084293
bur26b 26 26 352 26 1200 3824643 FEAS 3730961 2877262 1200 3817852 FEAS 3789669 1513632 111.887 3817852 OPT 3817852 163508 80.646 3817852 OPT 3817852 107238 1200 3817852 FEAS 3773880 1040060 603.865 3817852 OPT 3817852 634547 1200 3834970.0 FEAS 385138.0 183852 1200 3817852 FEAS 0 64531078
bur26c 26 26 352 26 1200 5427273 FEAS 5335147 2109864 225.524 5426795 OPT 5426795 152450 88.501 5426795 OPT 5426795 77114 62.007 5426795 OPT 5426795 50574 1200 5426795 FEAS 5374882 601520 273.619 5426795 OPT 5426795 167272 1200 5452721.0 FEAS 518476.0 104317 1200 5426801 FEAS 0 64058787
bur26d 26 26 352 26 1200 3821576 FEAS 3731875 2386467 159.297 3821225 OPT 3821225 173912 63.594 3821225 OPT 3821225 92549 86.421 3821225 OPT 3821225 116575 451.093 3821225 OPT 3821225 418264 149.653 3821225 OPT 3821225 176388 1200 3853566.0 FEAS 429080.0 96918 1200 3821225 FEAS 0 67008470
bur26e 26 26 352 26 1200 5387515 FEAS 5317194 2767838 167.1 5386879 OPT 5386879 142733 117.274 5386879 OPT 5386879 156077 89.326 5386879 OPT 5386879 117824 117.801 5386879 OPT 5386879 57207 75.095 5386879 OPT 5386879 49578 1200 5398861.0 FEAS 579956.0 116621 1200 5386879 FEAS 0 64557478
bur26f 26 26 352 26 1200 3782194 FEAS 3715346 2559595 88.036 3782044 OPT 3782044 114874 29.784 3782044 OPT 3782044 53666 32.163 3782044 OPT 3782044 57987 170.066 3782044 OPT 3782044 147309 12.832 3782044 OPT 3782044 13572 1200 3783861.0 FEAS 408418.0 109701 1200 3782044 FEAS 0 66839990
bur26g 26 26 352 26 1200 10119666 FEAS 10019326 1461728 26.644 10117172 OPT 10117172 20548 12.847 10117172 OPT 10117172 9844 17.721 10117172 OPT 10117172 14302 238.204 10117172 OPT 10117172 128497 17.304 10117172 OPT 10117172 9826 1200 10149428.0 FEAS 1656932.0 169154 1200 10117208 FEAS 0 66528832
bur26h 26 26 352 26 1200 7099383 FEAS 7008473 1814556 17.913 7098658 OPT 7098658 22412 6.569 7098658 OPT 7098658 10067 7.477 7098658 OPT 7098658 9735 38.051 7098658 OPT 7098658 31074 12.265 7098658 OPT 7098658 11185 1200 7132136.0 FEAS 1059790.0 143660 1200 7098658 FEAS 0 64960456
chr12a 12 12 79 12 0.03 9552 OPT 9552 133 0.066 9552 OPT 9552 1362 0.058 9552 OPT 9552 1233 0.06 9552 OPT 9552 1233 0.071 9552 OPT 9552 645 0.077 9552 OPT 9552 664 3.34818 9552.0 OPT 9552.0 49832 1200 9552 FEAS 0 365206916
chr12b 12 12 79 12 0.03 9742 OPT 9742 15 0.048 9742 OPT 9742 1047 0.056 9742 OPT 9742 1292 0.06 9742 OPT 9742 1292 0.078 9742 OPT 9742 677 0.07 9742 OPT 9742 485 3.74803 9742.0 OPT 9742.0 53897 1200 9742 FEAS 0 371840436
